Season,Id,Date,Time,League,Home,Away,Round_number,FT_Goals_H,FT_Goals_A,FT_Odd_ML_Bookie,FT_Odd_ML_H,FT_Odd_ML_D,FT_Odd_ML_A,HT_Odd_OU_05_Bookie,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_OU_05_Bookie,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_OU_15_Bookie,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_OU_25_Bookie,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_OU_35_Bookie,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_OU_45_Bookie,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Bookie,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
2023,ANs5cSV7,2023-05-03,21:15,BRASIL - SÉRIE B,Avaí,Vila Nova,RODADA 4,0,3,Betano.br,2.05,3.05,3.8,Betano.br,1.57,2.25,Betano.br,1.11,5.6,Betano.br,1.47,2.5,Betano.br,2.37,1.52,Betano.br,4.25,1.18,Betano.br,7.4,1.06,Betano.br,2.05,1.7
2023,vFNntOxG,2023-05-03,21:30,BRASIL - SÉRIE C,Paysandu,Aparecidense,PRIMEIRA FASE ,2,1,Betano.br,1.78,3.4,4.45,Betano.br,1.5,2.4,Betano.br,1.09,6.3,Betano.br,1.42,2.67,Betano.br,2.2,1.6,Betano.br,3.85,1.22,Betano.br,6.7,1.07,Betano.br,2.1,1.65
2023,6TwTLgi1,2023-05-04,18:00,BRASIL - SÉRIE C,CSA,Confiança,PRIMEIRA FASE ,0,1,Betano.br,1.55,3.55,6.6,Betano.br,1.52,2.37,Betano.br,1.09,6.2,Betano.br,1.4,2.7,Betano.br,2.2,1.6,Betano.br,3.85,1.22,Betano.br,6.7,1.07,Betano.br,2.25,1.57
2023,pKxXKD67,2023-05-04,19:00,BRASIL - SÉRIE C,Botafogo-PB,Operário,PRIMEIRA FASE ,2,1,Betano.br,2.25,3.0,3.35,Betano.br,1.6,2.18,Betano.br,1.12,5.4,Betano.br,1.53,2.32,Betano.br,2.57,1.45,Betano.br,4.7,1.15,Betano.br,8.0,1.05,Betano.br,2.18,1.62
2023,YZVEqcq8,2023-05-04,21:30,BRASIL - SÉRIE C,Altos-PI,Figueirense,PRIMEIRA FASE ,0,0,Betano.br,2.92,2.87,2.55,Betano.br,1.57,2.25,Betano.br,1.11,5.6,Betano.br,1.47,2.5,Betano.br,2.37,1.52,Betano.br,4.25,1.18,Betano.br,7.4,1.06,Betano.br,1.98,1.75
2023,GvoGOe7r,2023-05-04,21:30,BRASIL - SÉRIE C,São Bernardo,Remo,PRIMEIRA FASE ,3,1,Betano.br,2.15,3.25,3.25,Betano.br,1.52,2.37,Betano.br,1.09,6.2,Betano.br,1.42,2.65,Betano.br,2.25,1.57,Betano.br,3.95,1.21,Betano.br,6.9,1.07,Betano.br,2.0,1.72
2023,hS8PSAHf,2023-05-05,15:30,ARGENTINA - LIGA PROFISSIONAL,Barracas Central,Instituto,RODADA 15,3,0,bet365,3.1,3.0,2.45,bet365,1.57,2.25,bet365,1.1,7.0,bet365,1.5,2.5,bet365,2.6,1.48,bet365,5.5,1.14,bet365,13.0,1.04,bet365,2.05,1.7
2023,ptIAYulG,2023-05-05,15:30,ARGENTINA - LIGA PROFISSIONAL,Godoy Cruz,Union Santa Fe,RODADA 15,0,0,bet365,2.1,3.2,3.6,bet365,1.44,2.63,bet365,1.08,8.0,bet365,1.4,2.75,bet365,2.25,1.62,bet365,4.33,1.2,bet365,10.0,1.06,bet365,1.95,1.8
2023,WnmPL2EP,2023-05-05,21:30,BRASIL - SÉRIE B,Botafogo-SP,Vitória,RODADA 5,0,3,Betano.br,2.47,2.8,3.15,Betano.br,1.6,2.18,Betano.br,1.12,5.3,Betano.br,1.52,2.37,Betano.br,2.5,1.47,Betano.br,4.45,1.17,Betano.br,7.7,1.05,Betano.br,2.02,1.7
2023,OWGEXa3M,2023-05-06,15:30,ARGENTINA - LIGA PROFISSIONAL,Lanús,Huracán,RODADA 15,1,0,bet365,2.38,3.0,3.3,bet365,1.57,2.25,bet365,1.13,6.0,bet365,1.53,2.38,bet365,2.7,1.44,bet365,5.5,1.14,bet365,13.0,1.04,bet365,2.2,1.62
